place,number,sorz
Brogden Middle,86.8,School
Brogden Middle,43.6,School Zone
Lakewood Montessori Middle,58.1,School
Lakewood Montessori Middle,57.5,School Zone
Lowes Grove Middle,95,School
Lowes Grove Middle,68,School Zone
Sherwood Githens,0.685817648,School
Sherwood Githens,55,School Zone
Lucas,0.780952381,School
Lucas,24,School Zone
Carrington,0.843282,School
Carrington,45,School Zone
Neal,0.9292683,School
Neal,45,School Zone
Rodgers-Herr,0.72685793,School
Rodgers-Herr,57,School Zone
Shepard,0.97215,School
Shepard,48,School Zone
Durham School of the Arts,0.59814,School
Durham School of the Arts,51,School Zone
School for Creative Studies,0.821239,School
School for Creative Studies,53,School Zone
