place,number
C.C. Spaulding Elementary,77.9
Eastway Elementary,86.5
E.K. Powe Elementary,65.1
Fayetteville Street Elementary,95.2
Forest View Elementary,33
Lakewood Elementary,48.7
Parkwood Elementary,43.9
Southwest Elementary,30.2
Club Boulevard Elementary,59.7
Hillandale Elementary,70.6
Durham County,81
Eno Valley Elementary,30.1
Glenn Elementary,88.8
Creekside Elementary,37.4
Easley Elementary,34.7
Burton,99
Bethesda,70
George Watts,33.2
Holt,67.3
Hope Valley,46.6
Little River K-8,36.5
Morehead Montessori Magnet,33.6
Merrick-Moore Elementary,54.3
Oak Grove Elementary,77.7
Pearsontown Elementary,58.5
W.G. Pearson Elementary,84.3
Sandy Ridge Elementary,86.3
R.N. Harris Elementary,98.5
Spring Valley Elementary,50.3
Y.E Smith Elementary,89.1
