place,number,sorz
C.C. Spaulding Elementary,95.8,School
C.C. Spaulding Elementary,77.9,School Zone
Eastway Elementary,97.8,School
Eastway Elementary,74.6,School Zone
E.K. Powe Elementary,63.1,School
E.K. Powe Elementary,32.4,School Zone
Fayetteville Street Elementary,96.9,School
Fayetteville Street Elementary,95.2,School Zone
Forest View Elementary,67.5,School
Forest View Elementary,30.6,School Zone
Lakewood Elementary,88.2,School
Lakewood Elementary,67.2,School Zone
Parkwood Elementary,80,School
Parkwood Elementary,43.9,School Zone
Southwest Elementary,72.7,School
Southwest Elementary,30.2,School Zone
Club Boulevard Elementary,60.5,School
Club Boulevard Elementary,62.2,School Zone
Hillandale Elementary,80.7,School
Hillandale Elementary,75.6,School Zone
Eno Valley Elementary,93.1,School
Eno Valley Elementary,30.1,School Zone
Glenn Elementary,95.7,School
Glenn Elementary,88.8,School Zone
Creekside Elementary,61.2,School
Creekside Elementary,37.4,School Zone
Easley Elementary,48.4,School
Easley Elementary,34.7,School Zone
Burton,99,School
Burton,57,School Zone
Bethesda,70,School
Bethesda,57.4,School Zone
George Watts,33.2,School
George Watts,57.4,School Zone
Holt,67.3,School
Holt,57.4,School Zone
Hope Valley,46.6,School
Hope Valley,57.4,School Zone
Little River K-8,36.5,School
Little River K-8,57.4,School Zone
Morehead Montessori Magnet,33.6,School
Morehead Montessori Magnet,33.5,School Zone
Merrick-Moore Elementary,54.3,School
Merrick-Moore Elementary,57.4,School Zone
Oak Grove Elementary,77.7,School
Oak Grove Elementary,57.4,School Zone
Pearsontown Elementary,58.5,School
Pearsontown Elementary,57.4,School Zone
W.G. Pearson Elementary,84.3,School
W.G. Pearson Elementary,57.4,School Zone
Sandy Ridge Elementary,86.3,School
Sandy Ridge Elementary,57.4,School Zone
R.N. Harris Elementary,98.5,School
R.N. Harris Elementary,57.4,School Zone
Spring Valley Elementary,50.3,School
Spring Valley Elementary,57.4,School Zone
Y.E Smith Elementary,89.1,School
Y.E Smith Elementary,57.4,School Zone
