"School Name","Asian","Black/African American","Hispanic/Latino","Indigenous","White","","","","","","",""
"C.C. Spaulding Elementary","1.00%","76.35%","17.57%","0%","1.69%","","","","","","",""
"Eastway Elementary","0.57%","43.10%","52.55%","0.19%","1.89%","","","","","","",""
"EK Powe Elementary","0.81%","30.16%","24.70%","0%","37.65%","","","","","","",""
"Fayetteville Street Elementary","0%","55.35%","38.38%","0%","3.32%","","","","","","",""
"Forest View Elementary","5.74%","16.97%","39.43%","0%","30.68%","","","","","","",""
"Lakewood Elementary","2.96%","34.81%","49.63%","0.49%","8.89%","","","","","","",""
"Parkwood Elementary","1.12%","55.31%","20.86%","0.37%","15.08%","","","","","","",""
"Southwest Elementary","3.54%","46%","23.69%","0.15%","21.23%","","","","","","",""
"Hillside High","0.70%","70.73%","22.90%","0.21%","2.38%","","","","","","",""
"Jordan High","4.37%","32.85%","27.80%","0.37%","29.77%","","","","","","",""
"","","","","","","","","","","","",""
