CENTER_NAME,name,URL,LATITUDE,LONGITUDE
Emmanuel Praise & Worship Center,Emmanuel Praise & Worship Center,http://theepwc.org,35.96506003,-78.90563251
W. Deen Mohammed Islamic Center,W. Deen Mohammed Islamic Center,http://www.wdmislamiccenter.com,35.98089743,-78.89988185
Rebuild Fellowship,Rebuild Fellowship,https://www.rebuildchurch.com,35.9822518,-78.8969207
Word of Life Worship Center,Word of Life Worship Center,https://wlwc.org,35.98502991,-78.89992477
"Durham, Revival Worship Centre","Durham, Revival Worship Centre",http://drwconline.org,35.98867604,-78.89404537
United Nations Worship Center,United Nations Worship Center,http://www.unitednationschurch.org,35.9872697,-78.92869951
Kingdom Builders Christian Center,Kingdom Builders Christian Center,http://kingdom-builders.com,35.98060224,-78.95530702
Ar-Razzaq Islamic Center,Ar-Razzaq Islamic Center,https://arrazzaqislamiccenter.org,35.99824199,-78.91556741
Ecclesia House of Prayer,Ecclesia House of Prayer,https://www.discoverdurham.com/directory/ecclesia-house-of-prayer/,35.99148865,-78.88612749
Ekklesia Community Development Center,Ekklesia Community Development Center,https://www.guidestar.org/profile/30-0404366,35.99628028,-78.88934614
Nehemiah Christian Center,Nehemiah Christian Center,https://www.visitncc.com,35.99967165,-78.89712309
Rivers of Water Christian Center,Rivers of Water Christian Center,https://rowcc.org,35.99510398,-78.87569368
Lincoln Memorial Baptist Church,Lincoln Memorial Baptist Church,https://mylmbc.org,35.98017173,-78.90564859
St. Titus' Episcopal Church,St. Titus' Episcopal Church,https://sttitusdurham.org,35.9780533,-78.90238703
Centennial Chapel and Garden,Centennial Chapel and Garden,https://m.nccu.edu/students/device/text/map/detail?filter=&feed=nccu&id=329&parentId=,35.97510129,-78.90105665
Mount Vernon Baptist Church,Mount Vernon Baptist Church,https://mvbcdurham.org,35.98402644,-78.90238703
Gethsemane Baptist Church,Gethsemane Baptist Church,https://www.discoverdurham.com/directory/gethsemane-baptist-church/,35.98565856,-78.90303076
Mt. Zion Holy Church,Mt. Zion Holy Church,http://www.mountzionuhc.com,35.97989391,-78.89633596
First Chronicles Community Church,First Chronicles Community Church,http://firstchroniclescommunitychurch.org,35.98114411,-78.89569223
Fisher Memorial United Holy Church of America,Fisher Memorial United Holy Church of America,https://www.discoverdurham.com/directory/fisher-memorial-united-holy-church-of-america/,35.98482514,-78.89946878
Faucette Memorial CME,Faucette Memorial CME,https://www.discoverdurham.com/directory/faucette-memorial-c-m-e-church/,35.96881487,-78.91637743
Faith Tabernacle Church of Durham,Faith Tabernacle Church of Durham,https://www.discoverdurham.com/directory/faith-tabernacle-church-of-durham-inc/,35.96429945,-78.92006815
Jamaat Ibad Ar Rahman,Jamaat Ibad Ar Rahman,https://ibadarrahman.org,35.96316188,-78.90854538
Gateway To Heaven United Holy Church,Gateway To Heaven United Holy Church,https://nccompanies.com/company/0796297/gateway-to-heaven-united-holy-church-inc.html,35.96672218,-78.9026016
Greater Bethlehem Temple Apostolic Faith Church,Greater Bethlehem Temple Apostolic Faith Church,http://www.usachurches.org/church/bethlehem-temple-apostolic-faith-church.htm,35.98612735,-78.88841808
God First People Second Church,God First People Second Church,https://www.ctmobi.com/listing/8712034/god-first-people-second-church,35.98894006,-78.88919056
The Church of the Apostolic Revival International,The Church of the Apostolic Revival International,http://www.usachurches.org/church/the-church-of-the-apostolic-revival-international.htm,35.98696076,-78.88764561
United Assembly for Christ,United Assembly for Christ,https://www.discoverdurham.com/directory/united-assembly-for-christ/,35.98991233,-78.89537037
Monroe Christian Church,Monroe Christian Church,https://www.dnb.com/business-directory/company-profiles.monroe_christian_church.4d2817e23e8cff04d9d915c79eda362c.html,35.96442103,-78.88820351
White Rock Baptist Church,White Rock Baptist Church,https://www.whiterockbaptistchurch.org,35.95767348,-78.91066969
