"place","number","","","","","",""
"C.C. Spaulding Elementary","30.81","","","","","",""
"Eastway Elementary","18.61","","","","","",""
"EK Powe Elementary","16.65","","","","","",""
"Fayetteville Street Elementary","-1.32","","","","","",""
"Forest View Elementary","23.42","","","","","",""
"Lakewood Elementary","41.51","","","","","",""
"Parkwood Elementary","24.62","","","","","",""
"Southwest Elementary","22.57","","","","","",""
"Hillside High","25.12","","","","","",""
"Jordan High","26.23","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
